id,name,main_category_id
1,"게임용가구",1
2,"가구세트",1
3,"침대",1
4,"소파",1
5,"책장/선반유닛",1
6,"식탁/책상",1
7,"수납장/장식장",1
8,"TV/멀티미디어가구",1
9,"서랍장/서랍유닛",1
10,"옷장",1
11,"의자",1
12,"야외용 가구",1
13,"거실장/찬장/콘솔테이블",1
14,"어린이 가구",1
15,"칸막이/파티션",1
16,"이동식 선반",1
17,"바테이블/의자",1
18,"암체어/카우치",1
19,"카페가구",1
20,"영유아 가구",1
21,"침대",2
22,"침구",2
23,"매트리스",2
24,"침대협탁",2
25,"매트리스 베이스",2
26,"침대헤드",2
27,"침대수납",2
28,"침대갈빗살",2
29,"침대다리",2
30,"사무용의자",3
31,"책상/컴퓨터책상",3
32,"책상/의자 세트",3
33,"다용도 테이블",3
34,"서랍유닛",3
35,"수납유닛/수납장",3
36,"칸막이/파티션",3
37,"책상 디바이더",3
38,"독서용스탠드",3
39,"케이블/충전기",3
40,"서류/미디어정리용품",3
